track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wbQ07DQDmWS7bhCiXbfPG,Lawfame Violin,The Boy Paganini: Fantasia,"For Young Violinists, Vol. 2",2013-12-01,197589,0,3,1,11,7,2.911764705882353,12,362,1.1751824817518248,145.609,7,1,0.434,0.158,-13.874,0.0639,0.989,0.000267,0.315,0.766,0.068572
3wbQ2SPIRBb53bBVd8lyLN,Arbouretum,The Long Night,Coming Out of the Fog,2013-01-22,239093,0,1,1,5,4,1.4814814814814814,15,7312,0.6011560693641618,122.135,7,1,0.335,0.513,-8.251,0.0323,0.226,0.0469,0.12,0.629,0.171855
3wbQ7T6czmdnENZzq3R6oQ,Enrico,La treccia bionda,L'eco dei ricordi,2010-01-01,183588,0,6,1,3,3,1.411764705882353,5,70,1.0384615384615385,97.971,11,1,0.693,0.531,-9.275,0.0236,0.398,0.0,0.208,0.633,0.367983
3wbQ7T6czmdnENZzq3R6oQ,Sabrina Musiani,La treccia bionda,L'eco dei ricordi,2010-01-01,183588,0,6,1,3,3,1.411764705882353,17,942,1.0,97.971,11,1,0.693,0.531,-9.275,0.0236,0.398,0.0,0.208,0.633,0.367983
3wbQAGForegK7Sak898TQT,Elena Wilms,"Kapitel 27 - Toter Hering auf drei Uhr - Taxi, Tod und Teufel, Folge 5","Toter Hering auf drei Uhr [Taxi, Tod und Teufel, Folge 5 (Ungekürzt)]",2020-11-27,185394,0,27,1,7,25,1.074468085106383,50,830,1.0159389103650525,84.534,5,1,0.712,0.235,-16.029,0.965,0.326,0.0,0.223,0.286,0.16731999999999997
3wbQAGForegK7Sak898TQT,Lena Karmann,"Kapitel 27 - Toter Hering auf drei Uhr - Taxi, Tod und Teufel, Folge 5","Toter Hering auf drei Uhr [Taxi, Tod und Teufel, Folge 5 (Ungekürzt)]",2020-11-27,185394,0,27,1,7,25,1.074468085106383,40,2186,0.9795965685137955,84.534,5,1,0.712,0.235,-16.029,0.965,0.326,0.0,0.223,0.286,0.16731999999999997
3wbQLEctvCsbGenUSLRuCa,Riley White,Kapitel 4.13 - Das Rätsel um die tote Künstlerin,Das Rätsel um die tote Künstlerin (Sophie Doyles dritter Fall),2022-10-15,193500,0,59,1,1,14,0.6242424242424243,24,258,0.8911975821684927,77.807,8,0,0.625,0.151,-21.079,0.963,0.595,0.0,0.332,0.542,0.094375
3wbQTmZlh9EcfedleKWsFj,Lucas Siquelli,"Se Vós Baterdes, Ele Vos Abre","Hinos Orquestrados Ccb, Vol. 3",2020-06-01,164492,0,15,1,5,17,0.7843137254901961,35,4639,1.0770519262981575,108.388,10,1,0.16,0.331,-9.67,0.037,0.866,0.954,0.12,0.204,0.05296000000000001
3wbQX9P0HJqzcsv2Z0TKGb,Jack Hartmann,April,Calendar Songs Through the Year,2020-12-29,114025,0,5,1,21,20,2.672727272727273,40,27144,1.3797301410165363,120.078,2,1,0.937,0.661,-5.407,0.262,0.104,0.0,0.0417,0.732,0.619357
3wbQbJnykgkDapC4MiDTc8,Qedma Dias,A Mulher Adúltera,O Auto da Paixão do Deus Homem,2024-09-06,107480,0,9,1,6,14,1.0520547945205478,1,0,1.0,124.099,6,1,0.59,0.573,-6.018,0.0524,0.279,0.0,0.177,0.633,0.33807
3wbQbJnykgkDapC4MiDTc8,Vavá Rodrigues,A Mulher Adúltera,O Auto da Paixão do Deus Homem,2024-09-06,107480,0,9,1,6,14,1.0520547945205478,20,5170,1.5806451612903225,124.099,6,1,0.59,0.573,-6.018,0.0524,0.279,0.0,0.177,0.633,0.33807
3wbQcPAdEXA8DCK9B7t4F2,El Chalinillo,No Volveré,Tu Camino y el Mío,2020-10-23,213280,0,3,1,2,2,1.8333333333333335,39,101005,0.16079370509750257,115.519,10,1,0.666,0.74,-7.911,0.16,0.0797,0.0,0.0711,0.729,0.49284
3wbQef4xMLebuXVkSu2hBw,All India Radio,Border Crossings,002,2002-01-01,155213,0,10,1,1,3,0.6875,43,38718,0.2836545758081651,109.123,10,0,0.186,0.237,-19.282,0.0367,0.96,0.871,0.374,0.0315,0.044081999999999996
